itemId,commission,"room_area, m2",rooms_count,floor,floors_count,house_type,lat,lng,colors,url,metro_distance,station_1,station_2,station_3,metro_distance_1,metro_distance_2,metro_distance_3,name,address,"price, rub"
2009338380,Собственник,19.8,3,2,5,Кирпичный,55.76273,37.74387,"['#FFCD1C', '#F4D7CF']",/moskva/komnaty/komnata_198_m_v_3-k.25_et._2009338380,"{'141': 0.7, '2174': 1.9, '2181': 0.8}",141,2174,2181,0.7,1.9,0.8,Шоссе Энтузиастов,"Москва, улица Уткина, 41Б",300000
1984108066,Собственник,20,2,15,17,Монолитный,55.771126,37.493668,['#F4D7CF'],/moskva/komnaty/komnata_20_m_v_2-k_1517_et._1984108066,"{'2161': 1.1, '2193': 1.8, '91': 1.7}",2161,2193,91,1.1,1.8,1.7,Хорошево,"Россия, Москва, улица Мнёвники, 7к2",5500000
2081096965,Посредник,22,2,1,5,Кирпичный,55.808678,37.531673,['#4FB04F'],/moskva/komnaty/komnata_22_m_v_2-k_15_et._2081096965,"{'110': 1.1, '2183': 2.3, '7': 0.9}",110,2183,7,1.1,2.3,0.9,Аэропорт,"Москва, Часовая улица, 14",4750000
2109783594,Посредник,24.5,3,3,9,Панельный,55.683564,37.602957,['#F4D7CF'],/moskva/komnaty/komnata_245_m_v_3-k._39_et._2109783594,,,,,,,,Крымская,"Москва, Севастопольский проспект, 13к2",6200000
2109179382,Посредник,20,3,1,5,Кирпичный,55.685533,37.584209,['#F07E24'],/moskva/komnaty/komnata_20_m_v_3-k._15_et._2109179382,,,,,,,,Академическая,"Москва, Новочерёмушкинская улица, 13",5500000
1794422038,Собственник,15.5,1,1,3,Блочный,55.687146,37.661657,['#4FB04F'],/moskva/komnaty/komnata_15.5_m_v_1-k_13_et._1794422038,"{'2152': 0.8, '2169': 1.5, '44': 1.1}",2152,2169,44,0.8,1.5,1.1,Технопарк,"Москва, Автозаводская улица, 23с16",2999900
2111003229,Собственник,20.4,3,5,6,Кирпичный,55.824108,37.569904,['#ADACAC'],/moskva/komnaty/komnata_204_m_v_3-k.56_et._2111003229,"{'121': 0.8, '2154': 1.1, '85': 1.4}",121,2154,85,0.8,1.1,1.4,Тимирязевская,"Москва, улица Немчинова, 2, подъезд 1",4600000
2095463627,Посредник,19.4,3,1,5,Кирпичный,55.775413,37.491691,['#F4D7CF'],/moskva/komnaty/komnata_194_m_v_3-k._15_et._2095463627,,,,,,,,Хорошево,"Москва, проспект Маршала Жукова, 17к1",4800000
1247792603,Собственник,14,3,15,22,Панельный,55.766699,37.48835,['#F4D7CF'],/moskva/komnaty/komnata_14_m_v_3-k.1522_et._1247792603,"{'2161': 1.7, '2193': 2.3, '91': 2.2}",2161,2193,91,1.7,2.3,2.2,Хорошево,"Москва, Филёвский бульвар, 9, подъезд 1",2600000
2101441164,Посредник,18.7,3,2,5,Кирпичный,55.734445,37.492069,['#1EBCEF'],/moskva/komnaty/komnata_187_m_v_3-k._25_et._2101441164,,,,,,,,Филевский парк,"Москва, улица Василисы Кожиной, 22",4500000
2115218498,Собственник,18.2,3,2,5,Кирпичный,55.734445,37.492069,['#1EBCEF'],/moskva/komnaty/komnata_182_m_v_3-k.25_et._2115218498,"{'130': 0.8, '2185': 1.1, '9': 1.1}",130,2185,9,0.8,1.1,1.1,Филевский парк,"Москва, улица Василисы Кожиной, 22",4500000
2040553881,Посредник,15.9,3,1,9,Блочный,55.733782607656,37.7432930214265,['#D06C9F'],/moskva/komnaty/komnata_159_m_v_3-k.19_et._2040553881,"{'2173': 1, '2174': 1.5, '2221': 0.9}",2173,2174,2221,1.0,1.5,0.9,Стахановская,"Москва, 3-я Карачаровская улица, 2к1",3550000
